Ministry of Interior| 2021 budget: 2.986.769.000$ | 2020 budget: 2.997.671.000$
Ministry of Foreign Affairs| 2021 budget: 288.237.000$ | 2020 budget: 278.109.000$
Ministry of National Defense| 2021 budget: 5.495.900.000$ | 2020 budget: 3.397.000.000$
Ministry of Health| 2021 budget: 4.256.596.000$ | 2020 budget: 3.858.660.000$
Ministry of Justice| 2021 budget: 533.261.000$ | 2020 budget: 532.754.000$
Ministry of Education, Religious Affairs, and Sports| 2021 budget: 5.605.100.000$ | 2020 budget: 5.463.000.000$
Ministry of Culture| 2021 budget: 359.100.000$ | 2020 budget: 335.200.000$
Ministry of National Economy and Finance| 2021 budget: 747.475.497.000$ | 2020 budget: 632.788.383.000$
Ministry of Rural Development and Food| 2021 budget: 1.198.963.000$ | 2020 budget: 1.071.473.000$
Ministry of Environment and Energy| 2021 budget: 762.375.000$ | 2020 budget: 660.805.000$
Ministry of Labor and Social Security| 2021 budget: 22.689.305.000$ | 2020 budget: 19.891.800.000$
Ministry of Social Cohesion and Family| 2021 budget: 0$ | 2020 budget: 0$
Ministry of Development| 2021 budget: 5.301.196.000$ | 2020 budget: 2.419.846.000$
Ministry of Infrastructure and Transport| 2021 budget: 1.584.688.000$ | 2020 budget: 2.000.867.000$
Ministry of Shipping and Island Policy| 2021 budget: 408.600.000$ | 2020 budget: 406.800.000$
Ministry of Tourism| 2021 budget: 57.240.000$ | 2020 budget: 69.680.000$
Ministry of Digital Governance| 2021 budget: 2.488.481.000$ | 2020 budget: 2.470.481.000$
Ministry of Migration and Asylum| 2021 budget: 236.109.000$ | 2020 budget: 192.279.000$
Ministry of Citizen Protection| 2021 budget: 127.884.000$ | 2020 budget: 0$
Ministry of Climate Crisis and Civil Protection| 2021 budget: 0$ | 2020 budget: 0$
