========================================================================================================================
                                            BUDGET COMPARISON: 2026 vs 2025
========================================================================================================================
MINISTRY                                                              2026 BUDGET          2025 BUDGET
------------------------------------------------------------------------------------------------------------------------
Ministry of Interior                                                4.163.668.000        3.830.276.000
Ministry of Foreign Affairs                                           483.237.000          420.237.000
Ministry of National Defense                                        7.063.272.000        6.130.000.000
Ministry of Health                                                  7.841.945.000        7.177.424.000
Ministry of Justice                                                   679.577.000          650.803.000
Ministry of Education, Religious Affairs, and Sports                6.763.933.000        6.606.000.000
Ministry of Culture                                                   653.109.000          575.419.000
Ministry of National Economy and Finance                        1.717.408.920.000    1.246.518.464.000
Ministry of Rural Development and Food                              1.503.877.000        1.281.403.000
Ministry of Environment and Energy                                  3.133.452.000        2.341.227.000
Ministry of Labor and Social Security                              19.101.078.000       18.678.084.000
Ministry of Social Cohesion and Family                              3.803.316.000        3.989.553.000
Ministry of Development                                               798.476.000          818.045.000
Ministry of Infrastructure and Transport                            3.391.756.000        2.694.810.000
Ministry of Shipping and Island Policy                                756.593.000          651.864.000
Ministry of Tourism                                                   237.992.000          189.293.000
Ministry of Digital Governance                                      1.391.403.000        1.073.928.000
Ministry of Migration and Asylum                                      536.133.000          475.871.000
Ministry of Citizen Protection                                      2.603.285.000        2.285.820.000
Ministry of Climate Crisis and Civil Protection                     1.438.115.000        1.221.116.000
========================================================================================================================
