Ministry of Interior| 2026 budget: 4.163.668.000$ | 2023 budget: 3.548.748.000$
Ministry of Foreign Affairs| 2026 budget: 483.237.000$ | 2023 budget: 282.175.000$
Ministry of National Defense| 2026 budget: 7.063.272.000$ | 2023 budget: 5.707.800.000$
Ministry of Health| 2026 budget: 7.841.945.000$ | 2023 budget: 5.202.388.000$
Ministry of Justice| 2026 budget: 679.577.000$ | 2023 budget: 566.374.000$
Ministry of Education, Religious Affairs, and Sports| 2026 budget: 6.763.933.000$ | 2023 budget: 6.080.504.000$
Ministry of Culture| 2026 budget: 653.109.000$ | 2023 budget: 458.563.000$
Ministry of National Economy and Finance| 2026 budget: 1.717.408.920.000$ | 2023 budget: 748.592.323.000$
Ministry of Rural Development and Food| 2026 budget: 1.503.877.000$ | 2023 budget: 1.547.980.000$
Ministry of Environment and Energy| 2026 budget: 3.133.452.000$ | 2023 budget: 1.707.333.000$
Ministry of Labor and Social Security| 2026 budget: 19.101.078.000$ | 2023 budget: 22.492.686.000$
Ministry of Social Cohesion and Family| 2026 budget: 3.803.316.000$ | 2023 budget: 0$
Ministry of Development| 2026 budget: 798.476.000$ | 2023 budget: 3.295.349.000$
Ministry of Infrastructure and Transport| 2026 budget: 3.391.756.000$ | 2023 budget: 2.346.259.000$
Ministry of Shipping and Island Policy| 2026 budget: 756.593.000$ | 2023 budget: 498.453.000$
Ministry of Tourism| 2026 budget: 237.992.000$ | 2023 budget: 239.360.000$
Ministry of Digital Governance| 2026 budget: 1.391.403.000$ | 2023 budget: 972.937.000$
Ministry of Migration and Asylum| 2026 budget: 536.133.000$ | 2023 budget: 418.728.000$
Ministry of Citizen Protection| 2026 budget: 2.603.285.000$ | 2023 budget: 2.012.833.000$
Ministry of Climate Crisis and Civil Protection| 2026 budget: 1.438.115.000$ | 2023 budget: 643.473.000$
